อันดับ,Ticker,ราคาซื้อแนะนำ ($),ราคาเป้าหมาย ($),จุดขาย Stoploss ($),จำนวนซื้อ ไม้แรก (50%),มูลค่าไม้แรก ($),ความเสี่ยง/เทรด ($),ระดับสัญญาณ,เหตุผลทำไมต้องซื้อ
1,AES,14.76,15.06,14.61,377,5564.52,114.29,⭐⭐ สัญญาณคู่ (แข็งแรง),"เทรนด์ขาขึ้นชัดเจน: Close $14.76 > EMA20 $14.66 > EMA50 $14.60 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 8,853,479 หุ้น/วัน"
2,FTV,62.31,67.86,59.53,20,1246.2,114.29,⭐⭐ สัญญาณคู่ (แข็งแรง),"เทรนด์ขาขึ้นชัดเจน: Close $62.31 > EMA20 $61.50 > EMA50 $60.57 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 3,161,667 หุ้น/วัน"
3,UBER,74.26,84.37,69.21,11,816.86,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $74.26 > EMA20 $73.26 > EMA50 $73.21 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 21,629,535 หุ้น/วัน"
4,C,140.71,154.37,133.88,8,1125.68,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $140.71 > EMA20 $139.75 > EMA50 $134.58 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 13,405,808 หุ้น/วัน"
5,KEY,23.22,25.1,22.28,60,1393.2,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $23.22 > EMA20 $22.89 > EMA50 $22.23 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 12,331,518 หุ้น/วัน"
6,MRK,124.03,137.35,117.37,8,992.24,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $124.03 > EMA20 $123.49 > EMA50 $119.93 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 11,639,854 หุ้น/วัน"
7,VTRS,16.39,18.26,15.46,61,999.79,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $16.39 > EMA20 $16.27 > EMA50 $15.90 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 10,040,162 หุ้น/วัน"
8,KMI,32.24,34.97,30.87,41,1321.84,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $32.24 > EMA20 $32.17 > EMA50 $32.11 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 9,932,295 หุ้น/วัน"
9,EXC,47.09,50.79,45.24,30,1412.7,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $47.09 > EMA20 $46.63 > EMA50 $46.21 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 9,339,286 หุ้น/วัน"
10,MO,71.87,78.35,68.63,17,1221.79,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $71.87 > EMA20 $71.73 > EMA50 $70.38 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 8,064,092 หุ้น/วัน"
11,FAST,47.05,51.46,44.85,25,1176.25,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $47.05 > EMA20 $46.74 > EMA50 $46.02 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 7,573,649 หุ้น/วัน"
12,WMB,74.46,82.14,70.62,14,1042.44,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $74.46 > EMA20 $74.28 > EMA50 $73.59 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 7,494,873 หุ้น/วัน"
13,D,70.8,75.45,68.48,24,1699.2,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $70.80 > EMA20 $68.87 > EMA50 $66.91 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 7,026,117 หุ้น/วัน"
14,SO,96.47,103.26,93.07,16,1543.52,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $96.47 > EMA20 $95.40 > EMA50 $94.42 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 6,621,514 หุ้น/วัน"
15,CNP,44.13,47.42,42.49,34,1500.42,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $44.13 > EMA20 $43.68 > EMA50 $43.12 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 6,473,754 หุ้น/วัน"
16,XEL,80.48,86.9,77.27,17,1368.16,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $80.48 > EMA20 $79.95 > EMA50 $79.48 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 6,213,278 หุ้น/วัน"
17,AEP,135.63,146.13,130.38,10,1356.3,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $135.63 > EMA20 $134.29 > EMA50 $132.20 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 5,614,214 หุ้น/วัน"
18,HRL,24.46,26.94,23.22,46,1125.16,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $24.46 > EMA20 $24.28 > EMA50 $23.38 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 5,557,148 หุ้น/วัน"
19,KIM,25.11,26.77,24.28,68,1707.48,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $25.11 > EMA20 $25.02 > EMA50 $24.43 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 5,407,079 หุ้น/วัน"
20,BX,122.04,138.52,113.8,6,732.24,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $122.04 > EMA20 $120.28 > EMA50 $119.96 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 5,296,138 หุ้น/วัน"
21,UDR,40.18,43.25,38.64,37,1486.66,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $40.18 > EMA20 $39.59 > EMA50 $38.46 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,987,214 หุ้น/วัน"
22,EW,91.79,101.08,87.14,12,1101.48,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $91.79 > EMA20 $90.65 > EMA50 $87.63 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,883,541 หุ้น/วัน"
23,JCI,143.93,163.93,133.93,5,719.65,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $143.93 > EMA20 $142.43 > EMA50 $141.30 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,880,042 หุ้น/วัน"
24,MGM,47.24,52.63,44.54,21,992.04,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $47.24 > EMA20 $46.84 > EMA50 $44.53 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,585,321 หุ้น/วัน"
