อันดับ,Ticker,ราคาซื้อแนะนำ ($),ราคาเป้าหมาย ($),จุดขาย Stoploss ($),จำนวนซื้อ ไม้แรก (50%),shares,มูลค่าไม้แรก ($),ความเสี่ยง/เทรด ($),Trailing Stop ($ Trail),Trailing Stop (% Trail),ระดับสัญญาณ,เหตุผลทำไมต้องซื้อ
1,NVDA,207.4,236.72,192.74,3,3,622.2,114.29,14.66,7.07,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $207.40 > EMA20 $204.79 > EMA50 $204.52 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 148,676,847 หุ้น/วัน"
2,KVUE,19.02,20.77,18.14,65,65,1236.3,114.29,0.88,4.61,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $19.02 > EMA20 $18.90 > EMA50 $18.35 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 21,070,907 หุ้น/วัน"
3,CMG,34.2,39.27,31.66,22,22,752.4,114.29,2.54,7.41,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $34.20 > EMA20 $33.98 > EMA50 $33.28 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 20,687,353 หุ้น/วัน"
4,UBER,74.04,84.17,68.98,11,11,814.44,114.29,5.06,6.84,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $74.04 > EMA20 $73.19 > EMA50 $73.18 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 20,279,567 หุ้น/วัน"
5,KDP,31.38,35.16,29.49,30,30,941.4,114.29,1.89,6.02,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $31.38 > EMA20 $31.30 > EMA50 $30.50 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 16,245,457 หุ้น/วัน"
6,HST,23.67,25.7,22.65,56,56,1325.52,114.29,1.02,4.29,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $23.67 > EMA20 $23.39 > EMA50 $22.63 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 10,180,807 หุ้น/วัน"
7,KMI,32.54,35.18,31.22,43,43,1399.22,114.29,1.32,4.06,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $32.54 > EMA20 $32.24 > EMA50 $32.14 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 9,575,200 หุ้น/วัน"
8,EXC,46.79,50.6,44.89,30,30,1403.7,114.29,1.9,4.07,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $46.79 > EMA20 $46.59 > EMA50 $46.24 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 9,140,053 หุ้น/วัน"
9,AES,14.8,15.08,14.66,408,408,6038.4,114.29,0.14,0.94,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $14.80 > EMA20 $14.70 > EMA50 $14.62 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 8,714,310 หุ้น/วัน"
10,FAST,46.67,52.39,43.81,19,19,886.73,114.29,2.86,6.13,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $46.67 > EMA20 $46.54 > EMA50 $46.01 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 8,262,923 หุ้น/วัน"
11,WMB,74.73,82.25,70.97,15,15,1120.95,114.29,3.76,5.03,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $74.73 > EMA20 $74.46 > EMA50 $73.75 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 7,340,610 หุ้น/วัน"
12,SO,96.07,102.84,92.69,16,16,1537.12,114.29,3.38,3.52,สัญญาณเดี่ยว (EMA20 Bounce),"เทรนด์ขาขึ้นชัดเจน: Close $96.07 > EMA20 $95.44 > EMA50 $94.55 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 6,170,693 หุ้น/วัน"
