อันดับ,Ticker,ราคาซื้อแนะนำ ($),ราคาเป้าหมาย ($),จุดขาย Stoploss ($),จำนวนซื้อ ไม้แรก (50%),shares,มูลค่าไม้แรก ($),ความเสี่ยง/เทรด ($),ระดับสัญญาณ,เหตุผลทำไมต้องซื้อ
1,F,14.18,16.11,13.22,59,59,836.62,114.29,⭐⭐ สัญญาณคู่ (แข็งแรง),"เทรนด์ขาขึ้นชัดเจน: Close $14.18 > EMA20 $13.98 > EMA50 $13.87 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 52,651,618 หุ้น/วัน"
2,JCI,142.76,163.04,132.62,5,5,713.8,114.29,⭐⭐ สัญญาณคู่ (แข็งแรง),"เทรนด์ขาขึ้นชัดเจน: Close $142.76 > EMA20 $142.70 > EMA50 $141.51 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 4,810,457 หุ้น/วัน"
3,BAC,61.59,66.64,59.07,22,22,1354.98,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $61.59 > EMA20 $58.36 > EMA50 $55.80 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 36,505,643 หุ้น/วัน"
4,KO,82.45,88.86,79.24,17,17,1401.65,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $82.45 > EMA20 $82.23 > EMA50 $80.61 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 18,956,782 หุ้น/วัน"
5,NCLH,19.73,23.33,17.93,31,31,611.63,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $19.73 > EMA20 $19.67 > EMA50 $19.32 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 18,017,094 หุ้น/วัน"
6,HPQ,23.75,27.8,21.72,28,28,665.0,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $23.75 > EMA20 $23.64 > EMA50 $23.03 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 16,872,219 หุ้น/วัน"
7,CRWD,206.77,249.3,185.51,2,2,413.54,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $206.77 > EMA20 $187.94 > EMA50 $169.05 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 12,784,774 หุ้น/วัน"
8,MRK,123.61,137.3,116.77,8,8,988.88,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $123.61 > EMA20 $123.27 > EMA50 $120.11 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 11,405,112 หุ้น/วัน"
9,VTRS,16.68,18.53,15.75,61,61,1017.48,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $16.68 > EMA20 $16.32 > EMA50 $15.94 | MACD ตัด Signal ขึ้น ภายใน 2 วันล่าสุด (สัญญาณซื้อ Momentum) | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 9,638,319 หุ้น/วัน"
10,AES,14.81,15.09,14.67,404,404,5983.24,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $14.81 > EMA20 $14.69 > EMA50 $14.61 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 8,658,037 หุ้น/วัน"
11,ANET,171.92,213.72,151.02,2,2,343.84,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $171.92 > EMA20 $171.71 > EMA50 $163.80 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 8,397,974 หุ้น/วัน"
12,ABBV,244.11,269.01,231.66,4,4,976.44,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $244.11 > EMA20 $241.76 > EMA50 $230.16 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 8,004,308 หุ้น/วัน"
13,SBUX,105.11,115.74,99.79,10,10,1051.1,114.29,⭐ สัญญาณเดี่ยว,"เทรนด์ขาขึ้นชัดเจน: Close $105.11 > EMA20 $103.81 > EMA50 $101.93 | ราคาเด้ง/ยืนเหนือเส้น EMA20 ห่างไม่เกิน 1.5% | สภาพคล่องสูง: วอลุ่มเฉลี่ย 30 วัน = 7,560,109 หุ้น/วัน"
